id_manutencao,id_rebocador,data_manutencao,tipo_manutencao,componente_afetado,custo_reparo_reais,dias_inativo
49,60,2024-01-04,Corretiva Nao Planejada,Sistema de Propulsão,83362,9
50,36,2024-01-05,Corretiva Nao Planejada,Sistema de Propulsão,39839,9
51,1,2024-01-05,Corretiva Nao Planejada,Sistema de Propulsão,25276,10
52,3,2024-01-05,Corretiva Nao Planejada,Sistema de Propulsão,57576,5
53,4,2024-01-05,Corretiva Nao Planejada,Sistema de Propulsão,40970,12
54,79,2024-01-05,Corretiva Nao Planejada,Sistema de Propulsão,62643,12
55,10,2024-01-05,Corretiva Nao Planejada,Sistema de Propulsão,80357,12
56,14,2024-01-05,Corretiva Nao Planejada,Sistema de Propulsão,38602,9
57,31,2024-01-05,Corretiva Nao Planejada,Sistema de Propulsão,51715,8
58,34,2024-01-05,Corretiva Nao Planejada,Sistema de Propulsão,67498,10
59,36,2024-01-05,Corretiva Nao Planejada,Sistema de Propulsão,76997,6
60,3,2024-01-05,Corretiva Nao Planejada,Sistema de Propulsão,56898,11
61,64,2024-01-05,Corretiva Nao Planejada,Sistema de Propulsão,48159,6
62,79,2024-01-06,Corretiva Nao Planejada,Sistema de Propulsão,31732,11
63,10,2024-01-06,Corretiva Nao Planejada,Sistema de Propulsão,71804,10
64,31,2024-01-06,Corretiva Nao Planejada,Sistema de Propulsão,31804,7
65,34,2024-01-06,Corretiva Nao Planejada,Sistema de Propulsão,25716,10
66,36,2024-01-06,Corretiva Nao Planejada,Sistema de Propulsão,27814,7
67,31,2024-01-07,Corretiva Nao Planejada,Sistema de Propulsão,78209,7
68,34,2024-01-07,Corretiva Nao Planejada,Sistema de Propulsão,32771,7
69,36,2024-01-07,Corretiva Nao Planejada,Sistema de Propulsão,86716,6
70,14,2024-01-07,Corretiva Nao Planejada,Sistema de Propulsão,46705,5
71,34,2024-01-08,Corretiva Nao Planejada,Sistema de Propulsão,51922,8
72,1,2024-01-08,Corretiva Nao Planejada,Sistema de Propulsão,54355,10
73,31,2024-01-08,Corretiva Nao Planejada,Sistema de Propulsão,59633,5
74,36,2024-01-08,Corretiva Nao Planejada,Sistema de Propulsão,28074,5
75,79,2024-01-08,Corretiva Nao Planejada,Sistema de Propulsão,31136,7
76,60,2024-01-08,Corretiva Nao Planejada,Sistema de Propulsão,66712,12
77,31,2024-01-09,Corretiva Nao Planejada,Sistema de Propulsão,57744,10
78,36,2024-01-09,Corretiva Nao Planejada,Sistema de Propulsão,71244,8
79,79,2024-01-09,Corretiva Nao Planejada,Sistema de Propulsão,65169,7
80,60,2024-01-09,Corretiva Nao Planejada,Sistema de Propulsão,67909,5
81,34,2024-01-09,Corretiva Nao Planejada,Sistema de Propulsão,50085,5
82,78,2024-01-09,Corretiva Nao Planejada,Sistema de Propulsão,69136,11
83,71,2024-01-10,Corretiva Nao Planejada,Sistema de Propulsão,89931,6
84,31,2024-01-10,Corretiva Nao Planejada,Sistema de Propulsão,36077,10
85,36,2024-01-10,Corretiva Nao Planejada,Sistema de Propulsão,61585,8
86,79,2024-01-10,Corretiva Nao Planejada,Sistema de Propulsão,37085,10
87,60,2024-01-10,Corretiva Nao Planejada,Sistema de Propulsão,57837,5
88,34,2024-01-10,Corretiva Nao Planejada,Sistema de Propulsão,71259,11
89,31,2024-01-10,Corretiva Nao Planejada,Sistema de Propulsão,60816,7
90,79,2024-01-10,Corretiva Nao Planejada,Sistema de Propulsão,57323,10
91,36,2024-01-11,Corretiva Nao Planejada,Sistema de Propulsão,74396,10
92,60,2024-01-11,Corretiva Nao Planejada,Sistema de Propulsão,74530,5
93,34,2024-01-11,Corretiva Nao Planejada,Sistema de Propulsão,25228,11
94,78,2024-01-11,Corretiva Nao Planejada,Sistema de Propulsão,54306,11
95,64,2024-01-11,Corretiva Nao Planejada,Sistema de Propulsão,46506,9
96,3,2024-01-11,Corretiva Nao Planejada,Sistema de Propulsão,59924,8
97,31,2024-01-11,Corretiva Nao Planejada,Sistema de Propulsão,79269,5
98,79,2024-01-11,Corretiva Nao Planejada,Sistema de Propulsão,75887,7
99,36,2024-01-11,Corretiva Nao Planejada,Sistema de Propulsão,66454,5
100,60,2024-01-12,Corretiva Nao Planejada,Sistema de Propulsão,71802,6
101,64,2024-01-12,Corretiva Nao Planejada,Sistema de Propulsão,59073,7
102,3,2024-01-12,Corretiva Nao Planejada,Sistema de Propulsão,58214,8
103,79,2024-01-12,Corretiva Nao Planejada,Sistema de Propulsão,85637,8
104,31,2024-01-12,Corretiva Nao Planejada,Sistema de Propulsão,38198,10
105,64,2024-01-12,Corretiva Nao Planejada,Sistema de Propulsão,61511,5
106,60,2024-01-13,Corretiva Nao Planejada,Sistema de Propulsão,47009,10
107,31,2024-01-13,Corretiva Nao Planejada,Sistema de Propulsão,33206,10
108,34,2024-01-13,Corretiva Nao Planejada,Sistema de Propulsão,35706,8
109,64,2024-01-13,Corretiva Nao Planejada,Sistema de Propulsão,35401,11
110,76,2024-01-13,Corretiva Nao Planejada,Sistema de Propulsão,74863,8
111,79,2024-01-14,Corretiva Nao Planejada,Sistema de Propulsão,28565,6
112,60,2024-01-14,Corretiva Nao Planejada,Sistema de Propulsão,72891,11
113,64,2024-01-14,Corretiva Nao Planejada,Sistema de Propulsão,61400,8
114,76,2024-01-14,Corretiva Nao Planejada,Sistema de Propulsão,46575,11
115,31,2024-01-15,Corretiva Nao Planejada,Sistema de Propulsão,73456,11
116,64,2024-01-15,Corretiva Nao Planejada,Sistema de Propulsão,84715,9
117,76,2024-01-15,Corretiva Nao Planejada,Sistema de Propulsão,87951,12
118,60,2024-01-15,Corretiva Nao Planejada,Sistema de Propulsão,61552,11
119,31,2024-01-16,Corretiva Nao Planejada,Sistema de Propulsão,66796,12
120,64,2024-01-16,Corretiva Nao Planejada,Sistema de Propulsão,43055,9
121,31,2024-01-17,Corretiva Nao Planejada,Sistema de Propulsão,27905,11
122,10,2024-01-17,Corretiva Nao Planejada,Sistema de Propulsão,82361,11
123,60,2024-01-18,Corretiva Nao Planejada,Sistema de Propulsão,85639,9
124,10,2024-01-19,Corretiva Nao Planejada,Sistema de Propulsão,83536,5
125,60,2024-01-20,Corretiva Nao Planejada,Sistema de Propulsão,33989,11
126,78,2024-01-20,Corretiva Nao Planejada,Sistema de Propulsão,53575,11
127,14,2024-01-20,Corretiva Nao Planejada,Sistema de Propulsão,40269,8
128,60,2024-01-21,Corretiva Nao Planejada,Sistema de Propulsão,67779,11
129,34,2024-01-21,Corretiva Nao Planejada,Sistema de Propulsão,76635,10
130,60,2024-01-22,Corretiva Nao Planejada,Sistema de Propulsão,48866,9
131,60,2024-01-22,Corretiva Nao Planejada,Sistema de Propulsão,89124,6
132,14,2024-01-23,Corretiva Nao Planejada,Sistema de Propulsão,63099,9
133,26,2024-01-23,Corretiva Nao Planejada,Sistema de Propulsão,57550,8
134,60,2024-01-23,Corretiva Nao Planejada,Sistema de Propulsão,69531,6
135,14,2024-01-24,Corretiva Nao Planejada,Sistema de Propulsão,26768,9
136,10,2024-01-24,Corretiva Nao Planejada,Sistema de Propulsão,38359,10
137,26,2024-01-24,Corretiva Nao Planejada,Sistema de Propulsão,69883,6
138,14,2024-01-24,Corretiva Nao Planejada,Sistema de Propulsão,50887,7
139,78,2024-01-24,Corretiva Nao Planejada,Sistema de Propulsão,85516,5
140,26,2024-01-25,Corretiva Nao Planejada,Sistema de Propulsão,41776,10
141,4,2024-01-25,Corretiva Nao Planejada,Sistema de Propulsão,79115,6
142,14,2024-01-25,Corretiva Nao Planejada,Sistema de Propulsão,81574,8
143,10,2024-01-25,Corretiva Nao Planejada,Sistema de Propulsão,47031,11
144,26,2024-01-26,Corretiva Nao Planejada,Sistema de Propulsão,60901,11
145,14,2024-01-26,Corretiva Nao Planejada,Sistema de Propulsão,32519,7
146,10,2024-01-26,Corretiva Nao Planejada,Sistema de Propulsão,42143,5
147,26,2024-01-26,Corretiva Nao Planejada,Sistema de Propulsão,87520,10
148,14,2024-01-27,Corretiva Nao Planejada,Sistema de Propulsão,40883,5
149,26,2024-01-27,Corretiva Nao Planejada,Sistema de Propulsão,59918,9
150,78,2024-01-27,Corretiva Nao Planejada,Sistema de Propulsão,38939,8
151,3,2024-01-27,Corretiva Nao Planejada,Sistema de Propulsão,44939,11
152,14,2024-01-28,Corretiva Nao Planejada,Sistema de Propulsão,26562,5
153,26,2024-01-28,Corretiva Nao Planejada,Sistema de Propulsão,25709,10
154,3,2024-01-28,Corretiva Nao Planejada,Sistema de Propulsão,61869,12
155,79,2024-01-30,Corretiva Nao Planejada,Sistema de Propulsão,66919,6
156,2,2024-01-30,Preventiva Programada,Revisao Geral,6571,1
157,5,2024-01-30,Preventiva Programada,Revisao Geral,8870,1
158,6,2024-01-30,Preventiva Programada,Revisao Geral,7995,1
159,7,2024-01-30,Preventiva Programada,Revisao Geral,7355,1
160,8,2024-01-30,Preventiva Programada,Revisao Geral,7222,1
161,9,2024-01-30,Preventiva Programada,Revisao Geral,7728,1
162,11,2024-01-30,Preventiva Programada,Revisao Geral,6930,1
163,12,2024-01-30,Preventiva Programada,Revisao Geral,10575,1
164,15,2024-01-30,Preventiva Programada,Revisao Geral,11321,1
165,16,2024-01-30,Preventiva Programada,Revisao Geral,6082,1
166,17,2024-01-30,Preventiva Programada,Revisao Geral,5771,1
167,18,2024-01-30,Preventiva Programada,Revisao Geral,7201,1
168,19,2024-01-30,Preventiva Programada,Revisao Geral,9458,1
169,20,2024-01-30,Preventiva Programada,Revisao Geral,10683,1
170,21,2024-01-30,Preventiva Programada,Revisao Geral,11767,1
171,22,2024-01-30,Preventiva Programada,Revisao Geral,5743,1
172,23,2024-01-30,Preventiva Programada,Revisao Geral,8765,1
173,24,2024-01-30,Preventiva Programada,Revisao Geral,6266,1
174,25,2024-01-30,Preventiva Programada,Revisao Geral,5053,1
175,27,2024-01-30,Preventiva Programada,Revisao Geral,10000,1
176,28,2024-01-30,Preventiva Programada,Revisao Geral,11418,1
177,29,2024-01-30,Preventiva Programada,Revisao Geral,9277,1
178,32,2024-01-30,Preventiva Programada,Revisao Geral,8918,1
179,33,2024-01-30,Preventiva Programada,Revisao Geral,10461,1
180,35,2024-01-30,Preventiva Programada,Revisao Geral,10346,1
181,37,2024-01-30,Preventiva Programada,Revisao Geral,11431,1
182,38,2024-01-30,Preventiva Programada,Revisao Geral,5431,1
183,39,2024-01-30,Preventiva Programada,Revisao Geral,7162,1
184,40,2024-01-30,Preventiva Programada,Revisao Geral,8261,1
185,41,2024-01-30,Preventiva Programada,Revisao Geral,9036,1
186,42,2024-01-30,Preventiva Programada,Revisao Geral,10423,1
187,43,2024-01-30,Preventiva Programada,Revisao Geral,7199,1
188,44,2024-01-30,Preventiva Programada,Revisao Geral,5289,1
189,45,2024-01-30,Preventiva Programada,Revisao Geral,5495,1
190,46,2024-01-30,Preventiva Programada,Revisao Geral,5304,1
191,47,2024-01-30,Preventiva Programada,Revisao Geral,9884,1
192,48,2024-01-30,Preventiva Programada,Revisao Geral,6622,1
193,49,2024-01-30,Preventiva Programada,Revisao Geral,8257,1
194,50,2024-01-30,Preventiva Programada,Revisao Geral,11803,1
195,51,2024-01-30,Preventiva Programada,Revisao Geral,9524,1
196,52,2024-01-30,Preventiva Programada,Revisao Geral,10369,1
197,53,2024-01-30,Preventiva Programada,Revisao Geral,6732,1
198,54,2024-01-30,Preventiva Programada,Revisao Geral,9769,1
199,55,2024-01-30,Preventiva Programada,Revisao Geral,11218,1
200,56,2024-01-30,Preventiva Programada,Revisao Geral,5693,1
201,57,2024-01-30,Preventiva Programada,Revisao Geral,6308,1
202,58,2024-01-30,Preventiva Programada,Revisao Geral,8642,1
203,59,2024-01-30,Preventiva Programada,Revisao Geral,6590,1
204,61,2024-01-30,Preventiva Programada,Revisao Geral,6511,1
205,62,2024-01-30,Preventiva Programada,Revisao Geral,10834,1
206,63,2024-01-30,Preventiva Programada,Revisao Geral,6293,1
207,65,2024-01-30,Preventiva Programada,Revisao Geral,10537,1
208,66,2024-01-30,Preventiva Programada,Revisao Geral,7806,1
209,67,2024-01-30,Preventiva Programada,Revisao Geral,10906,1
210,68,2024-01-30,Preventiva Programada,Revisao Geral,6403,1
211,69,2024-01-30,Preventiva Programada,Revisao Geral,8309,1
212,70,2024-01-30,Preventiva Programada,Revisao Geral,10279,1
213,72,2024-01-30,Preventiva Programada,Revisao Geral,10500,1
214,73,2024-01-30,Preventiva Programada,Revisao Geral,8102,1
215,74,2024-01-30,Preventiva Programada,Revisao Geral,8782,1
216,75,2024-01-30,Preventiva Programada,Revisao Geral,8447,1
217,77,2024-01-30,Preventiva Programada,Revisao Geral,6183,1
218,80,2024-01-30,Preventiva Programada,Revisao Geral,10352,1
219,13,2024-01-31,Preventiva Programada,Revisao Geral,11647,1
220,30,2024-01-31,Preventiva Programada,Revisao Geral,9320,1
221,26,2024-02-01,Corretiva Nao Planejada,Sistema de Propulsão,61271,6
222,26,2024-02-02,Corretiva Nao Planejada,Sistema de Propulsão,38964,5
223,26,2024-02-05,Corretiva Nao Planejada,Sistema Elétrico,80063,11
224,36,2024-02-05,Corretiva Nao Planejada,Sistema Elétrico,38331,11
225,76,2024-02-05,Corretiva Nao Planejada,Sistema Elétrico,56065,11
226,10,2024-02-05,Corretiva Nao Planejada,Sistema Elétrico,68091,10
227,78,2024-02-05,Corretiva Nao Planejada,Sistema Elétrico,59648,5
228,60,2024-02-05,Corretiva Nao Planejada,Sistema Elétrico,87235,12
229,34,2024-02-05,Corretiva Nao Planejada,Sistema Elétrico,39196,10
230,79,2024-02-05,Corretiva Nao Planejada,Sistema Elétrico,57830,6
231,31,2024-02-05,Corretiva Nao Planejada,Sistema Elétrico,76098,12
232,3,2024-02-05,Corretiva Nao Planejada,Sistema Elétrico,73297,5
233,14,2024-02-05,Corretiva Nao Planejada,Sistema Elétrico,89635,5
234,64,2024-02-05,Corretiva Nao Planejada,Sistema Elétrico,71350,5
235,1,2024-02-05,Corretiva Nao Planejada,Sistema Elétrico,69015,7
236,71,2024-02-05,Corretiva Nao Planejada,Sistema Elétrico,64049,12
237,4,2024-02-05,Corretiva Nao Planejada,Sistema Elétrico,26617,7
238,5,2024-02-05,Corretiva Nao Planejada,Sistema Elétrico,57281,11
239,6,2024-02-05,Corretiva Nao Planejada,Sistema Elétrico,44278,7
240,8,2024-02-05,Corretiva Nao Planejada,Sistema Elétrico,58640,6
241,9,2024-02-05,Corretiva Nao Planejada,Sistema Elétrico,85003,11
242,13,2024-02-05,Corretiva Nao Planejada,Sistema Elétrico,38785,10
243,16,2024-02-05,Corretiva Nao Planejada,Sistema Elétrico,49772,6
244,18,2024-02-05,Corretiva Nao Planejada,Sistema Elétrico,86050,5
245,21,2024-02-05,Corretiva Nao Planejada,Sistema Elétrico,30669,9
246,22,2024-02-05,Corretiva Nao Planejada,Sistema Elétrico,57822,5
247,23,2024-02-05,Corretiva Nao Planejada,Sistema Elétrico,62955,11
248,25,2024-02-05,Corretiva Nao Planejada,Sistema Elétrico,75289,10
249,30,2024-02-05,Corretiva Nao Planejada,Sistema Elétrico,76220,5
250,33,2024-02-05,Corretiva Nao Planejada,Sistema Elétrico,25200,6
251,35,2024-02-05,Corretiva Nao Planejada,Sistema Elétrico,40292,10
252,44,2024-02-05,Corretiva Nao Planejada,Sistema Elétrico,39068,6
253,46,2024-02-05,Corretiva Nao Planejada,Sistema Elétrico,54659,12
254,49,2024-02-05,Corretiva Nao Planejada,Sistema Elétrico,84694,12
255,57,2024-02-05,Corretiva Nao Planejada,Sistema Elétrico,52906,7
256,58,2024-02-05,Corretiva Nao Planejada,Sistema Elétrico,69533,9
257,59,2024-02-05,Corretiva Nao Planejada,Sistema Elétrico,27884,9
258,61,2024-02-05,Corretiva Nao Planejada,Sistema Elétrico,66100,12
259,62,2024-02-05,Corretiva Nao Planejada,Sistema Elétrico,30968,6
260,74,2024-02-05,Corretiva Nao Planejada,Sistema Elétrico,48653,7
261,26,2024-02-05,Corretiva Nao Planejada,Sistema Elétrico,89591,11
262,36,2024-02-05,Corretiva Nao Planejada,Sistema Elétrico,55508,9
263,76,2024-02-05,Corretiva Nao Planejada,Sistema Elétrico,38589,9
264,10,2024-02-06,Corretiva Nao Planejada,Sistema Elétrico,28504,11
265,78,2024-02-06,Corretiva Nao Planejada,Sistema Elétrico,47904,10
266,60,2024-02-06,Corretiva Nao Planejada,Sistema Elétrico,34387,8
267,34,2024-02-06,Corretiva Nao Planejada,Sistema Elétrico,86980,11
268,79,2024-02-06,Corretiva Nao Planejada,Sistema Elétrico,26040,6
269,31,2024-02-06,Corretiva Nao Planejada,Sistema Elétrico,51616,11
270,3,2024-02-06,Corretiva Nao Planejada,Sistema Elétrico,81796,11
271,14,2024-02-06,Corretiva Nao Planejada,Sistema Elétrico,47629,10
272,64,2024-02-06,Corretiva Nao Planejada,Sistema Elétrico,30775,6
273,1,2024-02-06,Corretiva Nao Planejada,Sistema Elétrico,49659,6
274,71,2024-02-06,Corretiva Nao Planejada,Sistema Elétrico,42959,9
275,4,2024-02-06,Corretiva Nao Planejada,Sistema Elétrico,53087,11
276,5,2024-02-06,Corretiva Nao Planejada,Sistema Elétrico,34606,11
277,6,2024-02-06,Corretiva Nao Planejada,Sistema Elétrico,50011,11
278,8,2024-02-06,Corretiva Nao Planejada,Sistema Elétrico,29631,12
279,9,2024-02-06,Corretiva Nao Planejada,Sistema Elétrico,47809,7
280,13,2024-02-06,Corretiva Nao Planejada,Sistema Elétrico,69676,6
281,16,2024-02-06,Corretiva Nao Planejada,Sistema Elétrico,87891,6
282,18,2024-02-06,Corretiva Nao Planejada,Sistema Elétrico,84843,11
283,21,2024-02-06,Corretiva Nao Planejada,Sistema Elétrico,54452,8
284,22,2024-02-06,Corretiva Nao Planejada,Sistema Elétrico,38091,8
285,23,2024-02-06,Corretiva Nao Planejada,Sistema Elétrico,88979,7
286,25,2024-02-06,Corretiva Nao Planejada,Sistema Elétrico,76433,11
287,30,2024-02-06,Corretiva Nao Planejada,Sistema Elétrico,84764,11
288,33,2024-02-06,Corretiva Nao Planejada,Sistema Elétrico,83441,10
289,35,2024-02-06,Corretiva Nao Planejada,Sistema Elétrico,72886,5
290,44,2024-02-06,Corretiva Nao Planejada,Sistema Elétrico,87005,11
291,46,2024-02-06,Corretiva Nao Planejada,Sistema Elétrico,42781,7
292,49,2024-02-06,Corretiva Nao Planejada,Sistema Elétrico,30583,8
293,57,2024-02-06,Corretiva Nao Planejada,Sistema Elétrico,60609,5
294,58,2024-02-06,Corretiva Nao Planejada,Sistema Elétrico,27416,8
295,59,2024-02-06,Corretiva Nao Planejada,Sistema Elétrico,63082,12
296,61,2024-02-06,Corretiva Nao Planejada,Sistema Elétrico,26150,6
297,62,2024-02-06,Corretiva Nao Planejada,Sistema Elétrico,58369,12
298,74,2024-02-06,Corretiva Nao Planejada,Sistema Elétrico,52418,10
299,26,2024-02-06,Corretiva Nao Planejada,Sistema Elétrico,28129,6
300,36,2024-02-06,Corretiva Nao Planejada,Sistema Elétrico,67978,12
301,76,2024-02-06,Corretiva Nao Planejada,Sistema Elétrico,52438,6
302,12,2024-02-06,Corretiva Nao Planejada,Sistema Elétrico,75513,8
303,17,2024-02-06,Corretiva Nao Planejada,Sistema Elétrico,72940,11
304,19,2024-02-06,Corretiva Nao Planejada,Sistema Elétrico,57256,5
305,38,2024-02-06,Corretiva Nao Planejada,Sistema Elétrico,47327,10
306,39,2024-02-06,Corretiva Nao Planejada,Sistema Elétrico,38110,10
307,42,2024-02-06,Corretiva Nao Planejada,Sistema Elétrico,82653,11
308,45,2024-02-06,Corretiva Nao Planejada,Sistema Elétrico,64613,10
309,53,2024-02-06,Corretiva Nao Planejada,Sistema Elétrico,67719,7
310,55,2024-02-06,Corretiva Nao Planejada,Sistema Elétrico,77414,7
311,66,2024-02-06,Corretiva Nao Planejada,Sistema Elétrico,75784,12
312,67,2024-02-06,Corretiva Nao Planejada,Sistema Elétrico,76269,9
313,72,2024-02-06,Corretiva Nao Planejada,Sistema Elétrico,68584,7
314,80,2024-02-06,Corretiva Nao Planejada,Sistema Elétrico,65078,8
315,10,2024-02-06,Corretiva Nao Planejada,Sistema Elétrico,74185,5
316,78,2024-02-06,Corretiva Nao Planejada,Sistema Elétrico,79435,12
317,60,2024-02-06,Corretiva Nao Planejada,Sistema Elétrico,65548,8
318,34,2024-02-07,Corretiva Nao Planejada,Sistema Elétrico,86227,11
319,79,2024-02-07,Corretiva Nao Planejada,Sistema Elétrico,63065,12
320,31,2024-02-07,Corretiva Nao Planejada,Sistema Elétrico,59674,8
321,3,2024-02-07,Corretiva Nao Planejada,Sistema Elétrico,44077,8
322,14,2024-02-07,Corretiva Nao Planejada,Sistema Elétrico,79199,10
323,64,2024-02-07,Corretiva Nao Planejada,Sistema Elétrico,61652,12
324,1,2024-02-07,Corretiva Nao Planejada,Sistema Elétrico,41893,8
325,71,2024-02-07,Corretiva Nao Planejada,Sistema Elétrico,79725,10
326,4,2024-02-07,Corretiva Nao Planejada,Sistema Elétrico,76597,9
327,5,2024-02-07,Corretiva Nao Planejada,Sistema Elétrico,58726,6
328,6,2024-02-07,Corretiva Nao Planejada,Sistema Elétrico,38890,12
329,8,2024-02-07,Corretiva Nao Planejada,Sistema Elétrico,41346,5
330,9,2024-02-07,Corretiva Nao Planejada,Sistema Elétrico,38016,5
331,13,2024-02-07,Corretiva Nao Planejada,Sistema Elétrico,84896,10
332,16,2024-02-07,Corretiva Nao Planejada,Sistema Elétrico,54087,11
333,18,2024-02-07,Corretiva Nao Planejada,Sistema Elétrico,83694,6
334,21,2024-02-07,Corretiva Nao Planejada,Sistema Elétrico,71835,9
335,22,2024-02-07,Corretiva Nao Planejada,Sistema Elétrico,29910,6
336,23,2024-02-07,Corretiva Nao Planejada,Sistema Elétrico,49200,10
337,25,2024-02-07,Corretiva Nao Planejada,Sistema Elétrico,60297,8
338,30,2024-02-07,Corretiva Nao Planejada,Sistema Elétrico,49936,7
339,33,2024-02-07,Corretiva Nao Planejada,Sistema Elétrico,35768,12
340,35,2024-02-07,Corretiva Nao Planejada,Sistema Elétrico,77057,6
341,44,2024-02-07,Corretiva Nao Planejada,Sistema Elétrico,56930,6
342,46,2024-02-07,Corretiva Nao Planejada,Sistema Elétrico,84485,8
343,49,2024-02-07,Corretiva Nao Planejada,Sistema Elétrico,76338,8
344,57,2024-02-07,Corretiva Nao Planejada,Sistema Elétrico,68915,11
345,58,2024-02-07,Corretiva Nao Planejada,Sistema Elétrico,57229,10
346,59,2024-02-07,Corretiva Nao Planejada,Sistema Elétrico,80389,10
347,61,2024-02-07,Corretiva Nao Planejada,Sistema Elétrico,39627,7
348,62,2024-02-07,Corretiva Nao Planejada,Sistema Elétrico,30204,9
349,74,2024-02-07,Corretiva Nao Planejada,Sistema Elétrico,80582,10
350,26,2024-02-07,Corretiva Nao Planejada,Sistema Elétrico,48981,6
351,36,2024-02-07,Corretiva Nao Planejada,Sistema Elétrico,62624,11
352,76,2024-02-07,Corretiva Nao Planejada,Sistema Elétrico,32556,5
353,12,2024-02-07,Corretiva Nao Planejada,Sistema Elétrico,64622,6
354,17,2024-02-07,Corretiva Nao Planejada,Sistema Elétrico,69683,6
355,19,2024-02-07,Corretiva Nao Planejada,Sistema Elétrico,30204,8
356,38,2024-02-07,Corretiva Nao Planejada,Sistema Elétrico,73582,11
357,39,2024-02-07,Corretiva Nao Planejada,Sistema Elétrico,60379,5
358,42,2024-02-07,Corretiva Nao Planejada,Sistema Elétrico,75767,7
359,45,2024-02-07,Corretiva Nao Planejada,Sistema Elétrico,64389,7
360,53,2024-02-07,Corretiva Nao Planejada,Sistema Elétrico,57261,11
361,55,2024-02-07,Corretiva Nao Planejada,Sistema Elétrico,81701,8
362,66,2024-02-07,Corretiva Nao Planejada,Sistema Elétrico,33544,8
